raw	motif	fichier:ligne	classe_courante	emu	version
itn S2C  Lo envia el servidor pero el emulador lo usa como disparador de cliente y lo responde con itw, que no aparece en ninguna captura. 17 mensajes en 7 ficheros. GameNodeProxy answers it with itw 	forme prose non decomposable	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:144		jondo	3.6.10.10
ilr S2C  Lo envia el servidor pero NpcHandler lo despacha como peticion de cliente. 2 mensajes en 1 fichero. NpcHandler 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:145		jondo	3.6.10.10
kjl S2C  Lo envia el servidor pero NpcHandler lo despacha como peticion de cliente. 1 mensaje en 1 fichero. NpcHandler 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:146		jondo	3.6.10.10
iom S2C  Las capturas muestran al SERVIDOR enviandolo (283 mensajes, 67 ficheros); OpcodeRegistry lo declara como MapInformationsRequest, nombre heredado y falso. OpcodeRegistry (nombre heredado, falso) 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:149		jondo	3.6.10.10
kkn C2S  Rama de 3.6.4.3: dispara la rafaga de inicializacion antigua (envia kkp, kkm, krb, ilc, joh, lor, kri, hmd, itp). No aparece en ninguna de las 242 capturas. GameNodeProxy -> 3.6.4.3 initialisation burst 	opcode absent de Op.cs; forme prose non decomposable	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:235		jondo	3.6.10.10
ibt C2S  Rama de 3.6.4.3: rafaga final (envia icg x3, ith, klt, klp). No aparece en ninguna de las 242 capturas. GameNodeProxy -> final burst 	opcode absent de Op.cs; forme prose non decomposable	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:236		jondo	3.6.10.10
hmv C2S  Rama de 3.6.4.3: envia hnk y la lista kqm. No aparece en ninguna de las 242 capturas. GameNodeProxy 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:237		jondo	3.6.10.10
jte C2S  Se responde con una trama jto hardcodeada. No aparece en ninguna captura. GameNodeProxy 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:241		jondo	3.6.10.10
jpp C2S  Confirmacion de movimiento antigua (3.6.4.3), sustituida por jrw. No aparece en ninguna captura. MapChangeHandler 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:244		jondo	3.6.10.10
kqn C2S  Chat antiguo (3.6.4.3), sustituido por ktm. No aparece en ninguna captura. ChatHandler 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:247		jondo	3.6.10.10
jxx C2S  Despacho de combate antiguo (3.6.4.3). No aparece en ninguna captura. FightHandler 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:248		jondo	3.6.10.10
kkp S2C  Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas. GameNodeProxy (rama kkn) 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:249		jondo	3.6.10.10
krb S2C  Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas. GameNodeProxy (rama kkn) 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:251		jondo	3.6.10.10
lor S2C  Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas. GameNodeProxy (rama kkn) 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:253		jondo	3.6.10.10
icg S2C  Parte de la rafaga final de 3.6.4.3 que dispara ibt (icg se envia tres veces). No aparece en ninguna de las 242 capturas. GameNodeProxy (rama ibt) 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:257		jondo	3.6.10.10
klt S2C  Parte de la rafaga final de 3.6.4.3 que dispara ibt (icg se envia tres veces). No aparece en ninguna de las 242 capturas. GameNodeProxy (rama ibt) 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:259		jondo	3.6.10.10
lok S2C  Trama hardcodeada que envia la rama loy de 3.6.4.3. No aparece en ninguna de las 242 capturas. GameNodeProxy (rama loy) 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:263		jondo	3.6.10.10
jdj S2C  Trama hardcodeada que envia la rama loy de 3.6.4.3. No aparece en ninguna de las 242 capturas. GameNodeProxy (rama loy) 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:264		jondo	3.6.10.10
itw S2C  Lo que GameNodeProxy responde a itn; no aparece en ninguna de las 242 capturas. GameNodeProxy 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:266		jondo	3.6.10.10
