jeton_3.6.10.11	nom_propose	fiabilite_du_nom	signification_mesuree	fiabilite_du_jeton	direction	handler	forme_capturee	origen_jondo	source
ihq			Respuesta que devuelve un id de peticion real (3 respuestas).	FIABLE	S2C_f3			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ihs			Lleva id de peticion real en 1 peticion.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iic			No implementado. Exclusivo de las capturas de conjuntos de equipo (Conjuntos); es una respuesta y devuelve id de peticion real (17); 17 mensajes.	FIABLE	S2C_f3			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iin			Lleva id de peticion real en 1 peticion.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iio			Lleva id de peticion real en 3 peticiones.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iiy			Lleva id de peticion real en 1 peticion.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ija			No implementado. Exclusivo de las capturas de conjuntos de equipo (Conjuntos); es una respuesta y devuelve id de peticion real (11); 11 mensajes.	FIABLE	S2C_f3			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ilc			Solo se llama desde la rama kkn, que nunca llega. 5 mensajes en 3 ficheros.	FIABLE	S2C	BuildIlcMessage		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ilr			Lo envia el servidor pero NpcHandler lo despacha como peticion de cliente. 2 mensajes en 1 fichero.	FIABLE	S2C	NpcHandler		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
imd			Lo envia el cliente (1 vez); el fichero datos/dofus3_mappings.json lo llama InventoryWeightMessage y eso es falso, un informe de peso seria push del servidor.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ime			No implementado. Exclusivo de las capturas de grupos (Grupos); 2 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
imy			No implementado. Exclusivo de las capturas de grupos (Grupos); 1 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iom			Las capturas muestran al SERVIDOR enviandolo (283 mensajes, 67 ficheros); OpcodeRegistry lo declara como MapInformationsRequest, nombre heredado y falso.	FIABLE	S2C	OpcodeRegistry (nombre heredado, falso)		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ipa			No implementado. Exclusivo de las capturas de tienda (Tienda); 7 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ipb			No implementado. Exclusivo de las capturas de tienda (Tienda); 7 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iqj			Lleva bloques de look: en los 73 bloques que se le miden, el campo f2 del look vale algo distinto de 3. El documento no da direccion.	FIABLE				estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
irl			No implementado. Exclusivo de las capturas de oficios (Oficios); 30 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
irq	JobExperienceMultiUpdateMessage	PROPOSÉ	Los oficios; se conserva la lista de ids (es dato de juego) y se tira el progreso capturado: todos salen a nivel 1.	FIABLE	S2C	WorldEntry.ResetJobs	f1 (rep) { f1: job id, f3: level, f4/f5: experience }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
isf			Solo alcanzable desde krc y desde isi, que no llegan nunca. 7 mensajes en 2 ficheros.	FIABLE	S2C	StatsHandler.BuildIsfPacket		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
isi			Movimiento de objeto antiguo (3.6.4.3), sustituido por iuk. No aparece en ninguna captura.	FIABLE	C2S	InventoryHandler		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
isv			No implementado. Exclusivo de las capturas de oficios (Oficios); 191 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
itc	StorageObjectRemoveMessage	PROPOSÉ	Un objeto sale del cofre.	FIABLE	S2C	BuildItemGone	f1: uid	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
itd	StorageObjectUpdateMessage	PROPOSÉ	Un objeto llega al cofre.	FIABLE	S2C	BuildItemArrived (field 1)	f1 { f1: bag, f5 { ... } }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
itg	ShortcutBarContentMessage	PROPOSÉ	Las barras de atajos; el servidor envia dos y nada dentro dice cual es cual: un hueco con hechizo lleva f6, uno con objeto lleva f9, y el f2 suelto del final es el tipo de barra (1 hechizos, ausente objetos).	FIABLE	S2C	BuildSpellBar, WorldEntry.Rebuilt	f1 (rep) { f2: slot, f6 { f2: spell id } }, f2: 1	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ith			Parte de la rafaga final de 3.6.4.3 que dispara ibt (icg se envia tres veces). No aparece en ninguna de las 242 capturas.	FIABLE	S2C	GameNodeProxy (rama ibt)		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
itn			Lo envia el servidor pero el emulador lo usa como disparador de cliente y lo responde con itw, que no aparece en ninguna captura. 17 mensajes en 7 ficheros.	FIABLE	S2C	GameNodeProxy answers it with itw		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
itp			Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	FIABLE	S2C	GameNodeProxy (rama kkn)		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
itw			Lo que GameNodeProxy responde a itn; no aparece en ninguna de las 242 capturas.	FIABLE	S2C	GameNodeProxy		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
itz	ShortcutBarAddRequestMessage	PROPOSÉ	Editar un hueco de una barra de atajos; se escribe tambien en la base de datos o se pierde al salir.	FIABLE	C2S	GameNodeProxy.RememberShortcut	f2 { f2: slot, f6 { f2: spell id } }, f3: bar	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iua	ObjectAddedMessage	PROPOSÉ	Un objeto llega a la bolsa, con todo: plantilla, efectos y cantidad.	FIABLE	S2C	BuildItemArrived (field 3)	f3 { f1: bag, f5 { f1: template, f2 (rep): effects, f3: quantity, f4: uid } }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iuk	ObjectSetPositionMessage	PROPOSÉ	Mover un objeto a un hueco o de vuelta a la bolsa; la posicion cero es el amuleto, no la bolsa, y proto3 la omite.	FIABLE	C2S	EquipmentHandler.MoveAsync	f1: quantity, f2: uid, f3: position	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ium	ObjectDeletedMessage	PROPOSÉ	Un objeto sale de la bolsa.	FIABLE	S2C	BuildItemGone	f1: uid	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iun	InventoryWeightMessage	PROPOSÉ	Los pods: peso llevado y capacidad. Identificado por aritmetica, cinco pods por punto de fuerza.	FIABLE	S2C	BuildPods	f1: carried, f3: capacity	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iuq	ShortcutBarReplacedMessage	PROPOSÉ	Uno por cada hueco de barra que tenia la mitad antigua del hechizo; se envia antes de hng.	FIABLE	S2C	BuildShortcutChanged	f2 { f2: slot, f6 { f2: spell id } }, f3: bar	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iuv			No implementado. Exclusivo de las capturas de Steamer; 1 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iuw	ObjectDeleteMessage	PROPOSÉ	Destruir un objeto; el cliente no quita nada por su cuenta y sin respuesta el objeto se queda. Observado contra el cliente real en el log de trafico del emulador, no en el conjunto pcapng.	FIABLE	C2S	DestroyItemHandler.DestroyAsync	f2 { f2: uid, f3: quantity }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ivf	KamasUpdateMessage	PROPOSÉ	Kamas que quedan despues de pagar.	FIABLE	S2C	BuildKamas	f1: kamas	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ivi			NO es el inventario: 9694 pares de id y valor, ids de 44 a 34352 y valores de cientos de millones; parece los contadores de estadisticas de la cuenta. Es la trama mas grande del bloque 3 (87878 B, el 97 % del fichero).	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ivk	ShortcutBarRefreshMessage	PROPOSÉ	El eco: la misma entrada que envio el cliente.	FIABLE	S2C	GameNodeProxy	identical to the itz payload	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ivq	ObjectMovementMessage	PROPOSÉ	Donde acabo un objeto; un hueco solo admite un objeto, lo que hubiera se expulsa antes a la bolsa con su propio ivq.	FIABLE	S2C	EquipmentHandler	f1: uid, f2: position	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ivx	InventoryContentMessage	PROPOSÉ	El inventario, construido desde la base de datos; el hueco se omite cuando es cero porque cero es el amuleto.	FIABLE	S2C	BuildInventory	f3 (rep) { f1: slot, f5 { f1: template, f2 (rep) {...value..., f11: effect}, f3: quantity, f4: uid } }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iwb	StorageInventoryContentMessage	PROPOSÉ	Lo que hay dentro del cofre; misma forma que el inventario, con la bolsa como posicion de todo.	FIABLE	S2C	BuildStorageContent	f1 (rep) { f1: 63, f5 { ... } }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iwn	InteractiveUsedMessage	PROPOSÉ	Ese elemento esta en uso; f2 es el elemento, no la instancia de habilidad.	FIABLE	S2C	BuildElementInUse	f1: 1, f2: element id, f4: skill, f5: who	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iwo	InteractiveUseRequestMessage	PROPOSÉ	Clic en un elemento interactivo; el zaap, el cofre y la loteria llegan todos por aqui.	FIABLE	C2S	ZaapTravelHandler.UseAsync	f1: skill instance uid, f2: element id	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ixg			No implementado. Exclusivo de las capturas de Suenos Infinitos; 14 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iyb			No implementado. Exclusivo de las capturas de Suenos Infinitos; 12 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iyx			No implementado. Exclusivo de las capturas de Suenos Infinitos; 12 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
izg			No implementado. Exclusivo de las capturas de Suenos Infinitos; 40 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
izh			Lo envia el cliente (8 veces en 7 ficheros) pero el emulador lo construye como mensaje de servidor y nunca lo llama. El fichero de mapeos lo llama AlmanaxDateMessage, y eso es falso.	FIABLE	C2S	BuildIzhMessage		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
izu			El builder no se llama nunca. 2 mensajes en 2 ficheros.	FIABLE	S2C	BuildIzuMessage		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
izz			Nada establecido. 635 mensajes, 29 ficheros.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jaa			Lo mismo que jjs pero en su propio mensaje; se descarta. 5 mensajes.	FIABLE	S2C	WorldEntry.NotReplayed		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jau			No implementado. Exclusivo de las capturas de bolsa de viaje (Merkasako); 2 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jav			Cerrar el modo de colocacion; jbk, jav y jaw llegan los tres juntos al aceptar y el documento no distingue cual es cual.	FIABLE	C2S	MerkasakoHandler.CloseEditorAsync	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jaw			Cerrar el modo de colocacion; jbk, jav y jaw llegan los tres juntos al aceptar y el documento no distingue cual es cual.	FIABLE	C2S	MerkasakoHandler.CloseEditorAsync	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jaz			Se envia con los muebles, entre jss y lva; significado no establecido.	FIABLE	S2C	MerkasakoHandler	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jba	HavenBagEditionStoppedMessage	PROPOSÉ	Modo de colocacion cerrado.	FIABLE	S2C	MerkasakoHandler	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jbg	HavenBagFurnituresUpdateRequestMessage	PROPOSÉ	Una porcion de la habitacion; llega partido en tres seguidos y cada porcion lleva la habitacion entera, no un diff.	FIABLE	C2S	MerkasakoHandler.CollectFurniture	f2 (rep) { f1: cell, f2: furniture, f3: orientation }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jbk			Cerrar el modo de colocacion; jbk, jav y jaw llegan los tres juntos al aceptar y el documento no distingue cual es cual.	FIABLE	C2S	MerkasakoHandler.CloseEditorAsync	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jbl	HavenBagThemeChangeRequestMessage	PROPOSÉ	Cambiar el tema de la habitacion desde dentro.	FIABLE	C2S	MerkasakoHandler.ChangeThemeAsync	f1: theme	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jbm	HavenBagEditionStartedMessage	PROPOSÉ	Modo de colocacion confirmado.	FIABLE	S2C	MerkasakoHandler	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jbn	EnterHavenBagRequestMessage	PROPOSÉ	El boton de la bolsa de viaje y la tecla H; lleva un personaje porque se puede visitar la de otro.	FIABLE	C2S	MerkasakoHandler.EnterFromOutsideAsync	f2: whose bag	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jbs	LotteryResultMessage	PROPOSÉ	La respuesta de la maquina de loteria; de dos capturas, una con premio en f2 y otra rechazada con f3: 1.	FIABLE	S2C	BuildLotteryResult	f2: prize uid or f3: reason	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jbu	HavenBagFurnituresMessage	PROPOSÉ	Los muebles de la habitacion, esperados detras del mapa; misma forma que jbg pero en f1 en vez de f2.	FIABLE	S2C	BuildHavenBagFurniture	f1 (rep) { f1: cell, f2: furniture, f3: orientation }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jbv	HavenBagEditionStartRequestMessage	PROPOSÉ	Abrir el modo de colocacion de muebles.	FIABLE	C2S	MerkasakoHandler.OpenEditorAsync	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jci			No implementado. Exclusivo de las capturas de gremio (Gremio); 10 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jgu	SpouseInformationsMessage	PROPOSÉ	El conyuge, con su look; se descarta. 13 mensajes.	FIABLE	S2C	WorldEntry.NotReplayed		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jhe			El gremio de la cuenta grabada; se descarta. 7 mensajes.	FIABLE	S2C	WorldEntry.NotReplayed		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jhh	GuildInformationsGeneralMessage	PROPOSÉ	El gremio otra vez: fecha de fundacion, nivel y numero de miembros. Se descarta; mientras viajaba provocaba un NullReferenceException en el cliente. 18 mensajes.	FIABLE	S2C	WorldEntry.NotReplayed		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jhk			El nombre del gremio, escrito. Se descarta; mientras viajaba provocaba un NullReferenceException en el cliente. 2 mensajes.	FIABLE	S2C	WorldEntry.NotReplayed		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jii			No implementado. Exclusivo de las capturas de gremio (Gremio); 21 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jjs			Un puesto de jugador en el mapa, con la cuenta detras; se descarta. 10 mensajes.	FIABLE	S2C	WorldEntry.NotReplayed		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jlx			No implementado. Exclusivo de las capturas de gremio (Gremio); 8 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jmf			No implementado. Exclusivo de las capturas de gremio (Gremio); 8 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jml			No implementado. Exclusivo de las capturas de gremio (Gremio); 14 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jmu			No implementado. Exclusivo de las capturas de busqueda de grupo (Busqueda grupo); 8 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
joh			Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	FIABLE	S2C	GameNodeProxy (rama kkn)		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
joq			Sus dos llamadores son rutas de 3.6.4.3. 1 mensaje en 1 fichero.	FIABLE	S2C	FightHandler, MapChangeHandler		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jos			Cambio de mapa antiguo (3.6.4.3), sustituido por jqk. No aparece en ninguna captura.	FIABLE	C2S	MapChangeHandler		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jpr			No implementado. Exclusivo de las capturas de busqueda de grupo (Busqueda grupo); 5 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jpx			No implementado. Exclusivo de las capturas de busqueda de grupo (Busqueda grupo); 8 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jqi	MapMovementConfirmRequest	PROPOSÉ	Estoy en el borde, puedo salir.	FIABLE	C2S	WorldMoveHandler.AllowMapExitAsync	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jqk	ChangeMapMessage	PROPOSÉ	El mapa al que quiere ir; la casilla y la orientacion de llegada se calculan del lado de salida (13 de casilla lateral, 532 en vertical), medido en las capturas.	FIABLE	C2S	WorldMoveHandler.ChangeMapAsync	f2: map id	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jqt			No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 5 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jrh	WorldEntryRequests	PROPOSÉ	Quien esta en este mapa; sin respuesta el mapa se dibuja vacio, sin avatar, sin PNJs y sin monstruos.	FIABLE	C2S	GameNodeProxy	-	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jru	CurrentMapMessage	PROPOSÉ	Carga este mapa; enviarlo dos veces hace que el cliente recargue el mundo en bucle.	FIABLE	S2C	BuildLoadMap, WorldEntry.SendMapAsync	f2: map id	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jrw	GameMapMovementRequestMessage	PROPOSÉ	Caminar por un camino de casillas; cada paso empaqueta la orientacion en los bits altos de la casilla. El map id se comprueba contra la sesion y si no cuadra se ignora.	FIABLE	C2S	WorldMoveHandler.ConfirmMovementAsync	f1: map id, f2: packed path, each entry (facing << 12) | cell	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jsd	GameContextRemoveElementMessage	PROPOSÉ	Quita un actor del mapa; su propio cambio de mapa cuenta.	FIABLE	S2C	BuildActorLeft	f2: contextual id	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jsj	GameMapMovementMessage	PROPOSÉ	El movimiento confirmado; saltarselo deja al actor con orientacion cero.	FIABLE	S2C	BuildActorMoved	f1: packed cells, f2: facing, f5: contextual id	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jsn	GameContextRefreshEntityLookMessage	PROPOSÉ	Este actor ha cambiado: el bloque de actor entero, con casilla, id y el look nuevo. Es de lo que redibuja el cliente en el mapa.	FIABLE	S2C	BuildActorRefreshed	f1 { the actor block }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jsq	MapMovementConfirmResponse	PROPOSÉ	Adelante; no lleva mas que el id de peticion repetido, en el campo raiz 3. Sin el, el cliente nunca envia jqk y el personaje se queda en el borde.	FIABLE	S2C_f3	ConnectionProtocol.Answer	empty, id echoed	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
